Biedna biedną
maleńka maleńką
malowana malowaną
mała małą
mgle mgłę
mgła mgłą
miedzy między
mina miną
moda modą
moja moją
moskiewska moskiewską
mowi mówi
mowie mówię
mucha muchą
mężczyzna mężczyzną
młoda młodą
młodź młódź
nadobna nadobną
nadzieja nadzieją
nadzieje nadzieję
nagle nagłe
narodowa narodową
narzeczona narzeczoną
nasza naszą
nauka nauką
niedźwiedzia niedźwiedzią
niepojęta niepojętą
niewiasta niewiastą
niewielka niewielką
niewierna niewierną
niezliczone nieźliczone
nimfa nimfą
noga nogą
nowa nową
obronie obronię
obława obławą
oddala oddała
odkryje odkryję
odmiana odmianą
odmienna odmienną
odpowiedz odpowiedź
ognista ognistą
ogrodek ogródek
ogromna ogromną
okolice okolicę
opoka opoką
orze orzę
osoba osobą
ostrożny ostróżny
ozdobie ozdobię
palą pała
pamiątka pamiątką
panienka panienką
partyja partyją
partyje partyję
pasa pasą
pewna pewną
pełna pełną
piec pięć
pieści pięści
piękniejsza piękniejszą
placka placką
plama plamą
planeta planetą
plotki płotki
ploty płoty
plącząc płacząc
podniesiona podniesioną
pokora pokorą
pokrzywa pokrzywą
polska polską
pomieszana pomięszana
pomieszał pomięszał
pomoc pomóc
ponura ponurą
powinna powinną
praca pracą
prace pracę
prawica prawicą
prawice prawicę
proba probą
proby próby
przerwana przerwaną
prześliczna prześliczną
przybliża przybliżą
przyczyna przyczyną
przyzbie przyźbie
próżna próżną
prędka prędką
psiarnie psiarnię
puszcza puszczą
pól pół
pędzać pędząc
raczy rączy
rak rąk
rana raną
rekuzuje rekuzuję
reszta resztą
rozmowa rozmową
rożna różna różną
rożnie różnie
rura rurą
ryba rybą
równa równą
różowa różową
rączka rączką
ręka ręką
sad sąd
sadu sądu
sady sądy
sadza sadzą sądzą
sadzie sądzie
sala salą
sama samą
samotna samotną
scena sceną
sierota sierotą
siostra siostrą
siła siłą
skora skóra skórą
spieszy Śpieszy śpieszy
spieszyć śpieszyć
spieszył śpieszył
splątał spłatał
spojrzeć spójrzeć
stara starą
starsza starszą
stodole stodołę
stodoła stodołą
stolica stolicą
straszna straszną
strona stroną
strzecha strzechą
strzela strzelą
strzelba strzelbą
strzelecka strzelecką
studnie studnię
suka suką
swoje swoję
szabla szablą
szable szablę
szale szalę
szczęśliwa szczęśliwą
szeroka szeroką
szersza szerszą
szlachta szlachtą
szpada szpadą
sztuka sztuką
szyja szyją
szyje szyję
sława sławą
sławna sławną
słota słotą
sługa sługą
służba służbą
ta tą
tabaka tabaką
tajemna tajemną
tajemnice tajemnicę
taka taką
taratatka taratatką
tchórze tchórzę
te tę
tego tęgo
ton toń
tracą trąca
trawa trawą
trucizna trucizną
trzecia trzecią
tylna tylną
tylu tyłu
tłuszcza tłuszczą
ulewa ulewą
ulice ulicę
uroda urodą
was wąs
wasale wąsale
wasza waszą
wielka wielką
wielmożna wielmożną
woda wodą
wodza wodzą
wojewoda wojewodą
wojna wojną
wola wolą woła
woźnieńska woźnieńską
wychylona wychyloną
wymownie wymównie
wysoka wysoką
wyższa wyższą
wzniesiona wzniesioną
wąska wąską
władza władzą
własna własną
zajezdzie zajeździe
zając zająć
zajęta zajętą
zamieszania zamięszania
zasłona zasłoną
zasługa zasługą
zbojca zbójca
zdrajca zdrajcą
zdrowa zdrową
ze Że że
zeń żeń
ziemia ziemią
ziemie ziemię
zima zimą
zmaca zmąca
zmniejsza zmniejszą
zna żną
znaczna znaczną
zwala zwała
zwierz źwierz
zwierza Źwierza źwierza
zwierzem źwierzem
zwierzyny źwierzyny
zwierzynę źwierzynę
zwierzę źwierzę
zwykle zwykłe
ząb żab
ząbki żabki
zęby Żeby żeby
złe Źle źle
złocista złocistą
złota złotą
Ów ów
Łapaj łapaj
Łatwo łatwo
Łokcie łokcie
Łotr łotr
Łowczy łowczy
Łowiąc łowiąc
Łzy łzy
ładna ładną
łanie łanię
łapa łapą
łatwa łatwą
łoza łoża
łozę łoże
łzę łże
Ściany ściany
Ściska ściska
Ścisnął ścisnął
Ślad ślad
Śledzi śledzi
Ślubny ślubny
Śmiałbym śmiałbym
Śmiech śmiech
Śmiejąc śmiejąc
Śmierci śmierci
Śmierć śmierć
Śniadanie śniadanie
Środki środki
Środkiem środkiem
Śród śród
Świat świat świąt
Światło światło
Światłość światłość
Świeci świeci święci
Świecił świecił
Świeciły świeciły
Świecą świeca świecą
Świeżo świeżo
Świeżą świeżą
Świątyni świątyni
Świątynią świątynia
Świętego świętego
Święty święty
śmiała śmiałą
śmietana śmietaną
świec świeć
świecąca świecącą
święta świętą
źrenice źrenicę
Żaden żaden
Żagiel żagiel
Żal żal
Żale żale
Żałował żałował
Żałośnie żałośnie
Żebyś żebyś
Żegnając żegnając
Żem żem
Żenić żenić
Żeś żeś
Żona żona żoną
Żołnierze żołnierze
Żubr żubr
Żuraw żuraw
Żyje żyje żyję
Żywa żywa żywą
Żyć żyć
Żółta żółta żółtą
żałuje żałuję
